[INFO] Initializing Reborn VIO Automation Server...
[INFO] Local ADB path configured: /Volumes/SSD_cua_Dung/android_studio/platform-tools/adb
[INFO] Local AAPT path configured: /Volumes/SSD_cua_Dung/android_studio/build-tools/37.0.0/aapt
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.0.101:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Jun/2026 22:47:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:11] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:11] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:12] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [01/Jun/2026 22:47:15] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:17] "GET /api/device-screen/f8d421db?t=1780328835249 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:17] "GET /api/device-screen/f8d421db?t=1780328836050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:18] "GET /api/device-screen/f8d421db?t=1780328836850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:19] "GET /api/device-screen/f8d421db?t=1780328837650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:19] "GET /api/device-screen/f8d421db?t=1780328838450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:20] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:20] "GET /api/device-screen/f8d421db?t=1780328839250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:21] "GET /api/device-screen/f8d421db?t=1780328840050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:22] "GET /api/device-screen/f8d421db?t=1780328840850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:23] "GET /api/device-screen/f8d421db?t=1780328841650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:23] "GET /api/device-screen/f8d421db?t=1780328842450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:24] "GET /api/device-screen/f8d421db?t=1780328843250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:25] "GET /api/device-screen/f8d421db?t=1780328844050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:26] "GET /api/device-screen/f8d421db?t=1780328844850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:27] "GET /api/device-screen/f8d421db?t=1780328845650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:27] "GET /api/device-screen/f8d421db?t=1780328846450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:28] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:28] "GET /api/device-screen/f8d421db?t=1780328847250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:29] "GET /api/device-screen/f8d421db?t=1780328848049 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:30] "GET /api/device-screen/f8d421db?t=1780328848850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:31] "GET /api/device-screen/f8d421db?t=1780328849650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:32] "GET /api/device-screen/f8d421db?t=1780328850450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:32] "GET /api/device-screen/f8d421db?t=1780328851250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:33] "GET /api/device-screen/f8d421db?t=1780328852050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:34] "GET /api/device-screen/f8d421db?t=1780328852850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:35] "GET /api/device-screen/f8d421db?t=1780328853650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:36] "GET /api/device-screen/f8d421db?t=1780328854450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:36] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:36] "GET /api/device-screen/f8d421db?t=1780328855250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:37] "GET /api/device-screen/f8d421db?t=1780328856050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:38] "GET /api/device-screen/f8d421db?t=1780328856850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:39] "GET /api/device-screen/f8d421db?t=1780328857650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:40] "GET /api/device-screen/f8d421db?t=1780328858450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:40] "GET /api/device-screen/f8d421db?t=1780328859250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:41] "GET /api/device-screen/f8d421db?t=1780328860050 HTTP/1.1" 200 -
